Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2014-01-02,150.28358459472656,182.9199981689453,184.07000732421875,182.47999572753906,183.97999572753906,119636900
2014-01-03,150.25885009765625,182.88999938964844,183.60000610351562,182.6300048828125,183.22999572753906,81390600
2014-01-06,149.8234405517578,182.36000061035156,183.55999755859375,182.0800018310547,183.49000549316406,108028200
2014-01-07,150.74359130859375,183.47999572753906,183.7899932861328,182.9499969482422,183.08999633789062,86144200
2014-01-08,150.77645874023438,183.52000427246094,183.8300018310547,182.88999938964844,183.4499969482422,96582300
2014-01-09,150.87501525878906,183.63999938964844,184.1300048828125,182.8000030517578,184.11000061035156,90683400
2014-01-10,151.28585815429688,184.13999938964844,184.22000122070312,183.00999450683594,183.9499969482422,102026400
2014-01-13,149.27294921875,181.69000244140625,184.17999267578125,181.33999633789062,183.6699981689453,149892000
2014-01-14,150.8997344970703,183.6699981689453,183.77000427246094,181.9499969482422,182.2899932861328,105016100
2014-01-15,151.71307373046875,184.66000366210938,184.94000244140625,183.7100067138672,184.10000610351562,98525800
2014-01-16,151.51589965820312,184.4199981689453,184.66000366210938,183.8300018310547,184.27999877929688,72290600
2014-01-17,150.87501525878906,183.63999938964844,184.4499969482422,183.32000732421875,184.10000610351562,107848700
2014-01-21,151.31874084472656,184.17999267578125,184.77000427246094,183.0500030517578,184.6999969482422,88621200
2014-01-22,151.41729736328125,184.3000030517578,184.57000732421875,183.91000366210938,184.49000549316406,61270900
2014-01-23,150.17669677734375,182.7899932861328,183.39999389648438,181.82000732421875,183.3699951171875,132496900
2014-01-24,146.9725341796875,178.88999938964844,181.66000366210938,178.8300018310547,181.60000610351562,208677100
2014-01-27,146.24954223632812,178.00999450683594,179.52000427246094,177.1199951171875,179.05999755859375,180843100
2014-01-28,147.12045288085938,179.07000732421875,179.3000030517578,178.1199951171875,178.13999938964844,110463200
2014-01-29,145.70730590820312,177.35000610351562,178.5500030517578,176.8800048828125,177.5800018310547,216597300
2014-01-30,147.25186157226562,179.22999572753906,179.80999755859375,178.25999450683594,178.8300018310547,118938100
2014-01-31,146.38925170898438,178.17999267578125,179.2899932861328,176.9199981689453,177.00999450683594,194677900
2014-02-03,143.0946807861328,174.1699981689453,178.3699951171875,173.8300018310547,177.97000122070312,254837100
2014-02-04,144.09701538085938,175.38999938964844,175.83999633789062,174.11000061035156,174.9499969482422,165012400
2014-02-05,143.916259765625,175.1699981689453,175.55999755859375,173.7100067138672,174.77999877929688,164230500
2014-02-06,145.8141326904297,177.47999572753906,177.47999572753906,175.22000122070312,175.5800018310547,132877600
2014-02-07,147.62161254882812,179.67999267578125,179.8699951171875,177.72999572753906,178.30999755859375,170787200
2014-02-10,147.89271545410156,180.00999450683594,180.07000732421875,179.2100067138672,179.6999969482422,92218800
2014-02-11,149.51121520996094,181.97999572753906,182.44000244140625,180.0399932861328,180.16000366210938,117814100
2014-02-12,149.58514404296875,182.07000732421875,182.8300018310547,181.7100067138672,182.25,94717700
2014-02-13,150.35743713378906,183.00999450683594,183.1999969482422,180.8300018310547,180.83999633789062,100542200
2014-02-14,151.187255859375,184.02000427246094,184.36000061035156,182.6699981689453,182.83999633789062,96498400
2014-02-18,151.36802673339844,184.24000549316406,184.49000549316406,183.64999389648438,184.17999267578125,80460900
2014-02-19,150.36572265625,183.02000427246094,184.9499969482422,182.8699951171875,183.75999450683594,126524300
2014-02-20,151.25302124023438,184.10000610351562,184.52000427246094,182.60000610351562,183.27000427246094,104998100
2014-02-21,151.0805206298828,183.88999938964844,184.88999938964844,183.8000030517578,184.4499969482422,118116400
2014-02-24,151.91848754882812,184.91000366210938,186.14999389648438,184.1999969482422,184.27999877929688,114063900
2014-02-25,151.8609619140625,184.83999633789062,185.58999633789062,184.22999572753906,185.05999755859375,117085000
2014-02-26,151.86917114257812,184.85000610351562,185.60000610351562,184.3300018310547,185.11000061035156,98677200
